1,650
1,650
1,900
1,500
1,500
1,500
2,000
2,000
2,200
2,200
1,900
2,500
2,500
1,900
1,900
2,200
2,200
2,900
2,900
1,900
1,900
2,000
2,000
950
950
1,000
1,000
1,500
2,000
2,000
3,200
1,400
700
700
700
1,200
1,200
1,200
1,800
1,500
700
3,800
2,500
2,000
3,000
3,000
3,000
1,500
11,000
3,800
1,500
1,500
1,500
200
1,200
4,300
2,900
2,500
8,500
1,300
3,900
1,300
2,900
2,900
3,500
1,800
1,800
1,800
3,900
4,000
4,000
3,900
4,500
5,900
5,900
5,900
5,900
6,500
6,500
1,700
1,800
3,800
3,800
1,200
4,000
5,000
950
900
1,700
1,400
1,400
1,800
1,700
2,200
2,200
5,000
1,000
2,000
3,000
5,000
5,000
5,000
1,800
1,800
2,000
2,000
2,200
700
900
1,400
2,000
2,200
1,700
3,000
5,000
1,500
1,900
2,200
2,200
2,500
2,500
1,200
3,000
5,000
2,200
2,500
2,500
3,800
2,000
2,000
4,300
4,300
3,000
2,000
3,800
3,800
3,800
3,800
4,500
4,500
8,900
8,900
8,900
4,300
4,500
4,500
4,900
11,900
8,900
8,900
2,800
9,900
10,900
4,500
9,900
3,900
5,500
5,500
3,900
2,200
9,900
2,900
14,000
3,900
9,900
9,900
2,700
2,500
3,900
4,500
16,000
16,000
13,000
5,900
2,500
13,000
6,900
1,800
5,900
18,900
3,500
22,200
1,800
8,900
3,900
12,500
4,500
2,200
1,550
3,900
8,900
12,500
15,900
15,900
11,900
15,900
12,500
16,600
8,900
11,900
11,900
2,800
3,500
3,000
8,900
8,900
11,900
11,900
8,900
8,900
3,700
8,000
3,600
2,200
8,700
3,900
3,500
8,500
8,500
8,900
6,000
8,400
7,300
9,400
3,600
2,000
6,000
2,800
3,200
8,900
8,900
8,100
8,100
9,600
6,900
7,900
3,000
8,900
8,100
9,400
2,500
2,000
2,000
3,000
